Category,Name,Full name,,Latex_symbol,Latex_value,Latex_unit,Latex_source,Value,Units,Source,Description,Symbol,Uncertainty
GFS,Elec_comp,Electric consumption compressor,,$f^{comp}_{GFS_{EL/NG}}$,$0.03$,$-$,\cite{est_from_Sinor_1991},0.03,-,est from Sinor 1991,Fraction of energy requiered to compress natural gas to 3600 psig,f^{comp}_{GFS_{EL/NG}},0.1
GFS,Elec_dry,Electric consumption dryer,,$f^{dry}_{GFS_{EL/BG}}$,$0.0075$,$-$,\cite{est_from_PdS_nils},0.0075,-,est from PdS nils,Fraction of electricity requiered to dry biogas,f^{dry}_{GFS_{EL/BG}},0.1
GFS,Fueling_Time,Fueling time,,$t_{slow-fuel}$,$10$,$h$,\cite{gastsationpaper},10,h,gastsationpaper,Time to refuel 2 to 5 tractors in hours,t_{slow-fuel},0
GFS,Total_cost,Total cost,,$c^{total}_{GFS}$,$41$,$kCHF$,\cite{gastsationpaper},41,kCHF,gastsationpaper,Total invesetemnt cost for a 5 tractor fueling station (without multiplication),c^{total}_{GFS},0.5
GHP,COP,Coefficient of Performance,,$COP_{GHP}$,$4$,$-$,\cite{Pereg_2019},4,-,Pereg 2019,Coefficient of Performance,COP_{GHP},0.25
ICE,Eff_elec,Electric efficiency,,"$\eta_{ICE, EL}$",$0.3$,$-$,\cite{Samuel_PdM},0.3,-,Samuel PdM,ICE electric efficiency,"\eta_{ICE, EL}",0.1
ICE,Eff_thermal,Thermal efficiency,,"$\eta_{ICE, Q}$",$0.75$,$-$,\cite{Samuel_PdM},0.75,-,Samuel PdM,ICE thermal efficiency,"\eta_{ICE, Q}",0.1
PV,Eff,Efficiency,,$\eta_{PV}$,$0.14$,$-$,\cite{Paul_PHD},0.14,-,Paul PHD,PV efficiency,\eta_{PV},0.25
PV,P_density,Energy density,,$\rho_{PV}$,$0.197$,$kW/m^2$,\cite{Panasonic_datasheet},0.197,kW/m^2,Panasonic datasheet,PV power density,\rho_{PV},0.1
PV,max_utilisation,Available area,,$f_{PV_{A_{PV}/A}}$,$0.5$,$-$,\cite{setting},0.5,-,setting,Maximum utilisation of available rood area,f_{PV_{A_{PV}/A}},0.25
Physical,Biogas_CH4,BG Methane volume fraction,,$f_{BG_{CH_4/CO_2}}$,$0.6$,$-$,None,0.6,-,none,Fraction of CO2 contained in Biogas,f_{BG_{CH_4/CO_2}},0
Physical,Cp_water,Heat capacity,,$C^{Water}_p$,$1.162222$,$kWh/C^\circ/m^3$,\cite{nist.gov},1.16222222222222,kWh/C/m^3,nist.gov,Heat capacity of water,C^{Water}_p,0
Physical,Diesel_LHV,LHV of diesel,,$LHV_{Diesel}$,$10$,$kWh/l$,\cite{engineeringtoolbox.com},10,kWh/l,engineeringtoolbox.com,Diesel lower heating value per liter,LHV_{Diesel},0
Physical,Hours_per_year,Operating time,,$t_{op}$,$8760$,$h/year$,\cite{fact},8760,h/year,fact,Hours in a year,t_{op},0
Physical,Manure_AD,Manure emissions AD reduction,,$f^{AD}_{CO_2/manure}$,$0.59$,$-$,\cite{calc},0.59,-,calc,Manure emissions reduction with AD treatment and biogas combustion,f^{AD}_{CO_2/manure},
Physical,Manure_emissions,Manure emissions untreated,,$f_{CO_2/manure}$,$110$,$kgCO_2/t$,\cite{Prapaspongsa_2010},110,kgCO2/t,Prapaspongsa 2010,CO2 equivalent emissions from untreated manure (lagooning + spread),f_{CO_2/manure},
Profile,Elec_cons,,,$\dot{E}^{+ el}_{b}$,,$-$,None,farm_elec_cons.csv,-,None SIA,Electricity consumption profile,\dot{E}^{+ el}_{b},0
Profile,Irradiance,,,$I$,,$kWh/m^2$,\cite{agrometeo.ch},Weather,kWh/m^2,agrometeo.ch,Global Irradiance,I,0
Profile,Occupation,,,$\hat{P}_{occup}$,,$-$,None,farm_occupation.csv,-,None SIA,Occupation profile relating to humain gains,\hat{P}_{occup},0
Profile,Temperature,,,$T_{ext}$,,$C^\circ$,\cite{agrometeo.ch},Weather,C,agrometeo.ch,External shaded Temperature ,T_{ext},0
SOFC,Eff_elec_biogas,Electric efficiency for BG,,"$\eta_{SOFC, EL-BG}$",$0.5$,$-$,\cite{Jan},0.5,-,Jan,SOFC electric efficiency when fed with biogas,"\eta_{SOFC, EL-BG}",0.1
SOFC,Eff_elec_gas,Electric efficiency for NG,,"$\eta_{SOFC, EL-NG}$",$0.6$,$-$,\cite{Jan},0.6,-,Jan,SOFC electric efficiency when fed with natural gas,"\eta_{SOFC, EL-NG}",0.1
SOFC,Eff_thermal,Thermal efficiency,,"$\eta_{SOFC, Q}$",$0.9$,$-$,\cite{Jan},0.9,-,Jan,SOFC thermal efficiency,"\eta_{SOFC, Q}",0.1
WBOI,Eff,Efficiency,,$\eta_{WBOI}$,$0.85$,$-$,\cite{energyscope},0.85,-,energyscope,Wood Boiler efficiency,\eta_{WBOI},0.05
build,Absorptance,Absorptance,,$\alpha_b$,$0.08$,$-$,Tuned,0.08,-,Tuned,Fraction of solar radiation absorbed relative to ground surface,\alpha_b,
build,C_b,Heat capacity,,$C_b$,$0.12$,$kWh/C^\circ/m^2$,\cite{SIA_2024},0.12,kWh/C/m^2,SIA 2024,Building heat capacity,C_b,
build,Elec_heat_frac,Electric heat gains,,$f_{b_{Q/EL}}$,$0.9$,$-$,\cite{Dirk_MA},0.9,-,Dirk MA,Fraction of heat produced by electricity consumber,f_{b_{Q/EL}},
build,Gains_ppl_annual,Human heat gains,,"$Q^{+ ppl}_{b, annual}$",$26$,$kWh/m^2/year$,\cite{SIA_2024},26,kWh/m^2/year,SIA 2024,Heating Gains from People,"Q^{+ ppl}_{b, annual}",
build,Heated_area,Heated area,,"$A_{b, heated}$",$14705$,$m^2$,\cite{geo.admin.ch},14705,m^2,geo.admin.ch,Building heated surface area,"A_{b, heated}",
build,Heating_part_load,Heater part load,,"$f_{b, Q_{min}}$",$0.2$,$-$,Setting,0.2,-,Setting,Lowest load fraction acceptable before shutting down the heating system,"f_{b, Q_{min}}",
build,Safety_factor,Heat load safety factor,,"$f_{b, safety}$",$1$,$-$,Setting,1,-,Setting,Safety factor for the extreme heating load - Direct method for extreme case,"f_{b, safety}",
build,T_ext_extreme,Extreme exterior temperature,,$T^{extreme}_{ext}$,$-20$,$C^\circ$,Setting,-20,C,Setting,Minimum outside temperature - Indirect method for extreme case,T^{extreme}_{ext},
build,T_max,Max interior temperature,,"$T_{b,max}$",$34$,$C^\circ$,Setting,34,C,Setting,Maximum indoor temperature,"T_{b,max}",
build,T_min,Min interior temperature,,"$T_{b,min}$",$18$,$C^\circ$,Setting,18,C,Setting,Minimum indoor temperature,"T_{b,min}",
build,T_open_windows,open windows temperature,,"$T_{b,open}$",$25$,$C^\circ$,Setting,25,C,Setting,If the minimum building temperature in a day is below this windows stay open,"T_{b,open}",
build,U_b,Heat conductivity,,$U_b$,$0.00206$,$kW/C^\circ/m^2$,\cite{SIA_2024},0.00206,kW/C/m^2,SIA 2024,Building heat transmittance,U_b,
